Date,Open,high,low,count
2020.01.29 23:45,1577.2,1577.31,1576.46,1576.46
2020.01.30 01:00,1575.69,1576.46,1575.06,1575.82
2020.01.30 01:15,1575.82,1576.74,1575.68,1576.34
2020.01.30 01:30,1576.34,1576.96,1575.84,1576.5
2020.01.30 01:45,1576.5,1577.57,1576.32,1577.03
2020.01.30 02:00,1577.04,1577.09,1575.98,1576.66
2020.01.30 02:15,1576.66,1578.68,1576.64,1577.85
2020.01.30 02:30,1577.85,1579.38,1577.71,1578.37
2020.01.30 02:45,1578.37,1578.65,1577.62,1578.26
2020.01.30 03:00,1578.26,1580.12,1577.78,1579.81
2020.01.30 03:15,1579.88,1580.13,1578.61,1579.03
2020.01.30 03:30,1579.02,1579.06,1578.05,1578.35
2020.01.30 03:45,1578.35,1578.52,1577.91,1577.94
2020.01.30 04:00,1578,1579.05,1577.94,1578.69
2020.01.30 04:15,1578.67,1580.58,1578.67,1580.36
2020.01.30 04:30,1580.33,1580.38,1579.01,1579.7
2020.01.30 04:45,1579.7,1580.25,1579.4,1579.78
2020.01.30 05:00,1579.78,1580.32,1578.53,1578.62
2020.01.30 05:15,1578.62,1579.54,1578.1,1578.93
2020.01.30 05:30,1578.93,1579.92,1578.93,1579.87
2020.01.30 05:45,1579.88,1580.57,1579.73,1580.11
2020.01.30 06:00,1580.12,1580.79,1579.81,1579.91
2020.01.30 06:15,1579.92,1580.42,1579.71,1580.08
2020.01.30 06:30,1580.08,1580.2,1579.29,1579.42
2020.01.30 06:45,1579.41,1579.6,1578.98,1578.98
2020.01.30 07:00,1578.98,1579.73,1578.81,1579.44
2020.01.30 07:15,1579.44,1579.81,1578.62,1578.67
2020.01.30 07:30,1578.67,1579.67,1578.63,1578.94
2020.01.30 07:45,1578.94,1579.09,1577.93,1578.14
2020.01.30 08:00,1578.11,1578.45,1576.92,1576.99
2020.01.30 08:15,1576.96,1577.66,1576.92,1577.45
2020.01.30 08:30,1577.45,1578.16,1577.39,1577.9
2020.01.30 08:45,1577.89,1579.25,1577.79,1579.25
2020.01.30 09:00,1579.24,1580.69,1578.26,1580.18
