Date,Open,high,low,count
2023.01.17 03:00,1918.27,1918.90,1912.82,1913.03
2023.01.17 04:00,1913.02,1916.27,1909.47,1910.79
2023.01.17 05:00,1910.81,1911.41,1909.45,1910.26
2023.01.17 06:00,1910.21,1911.89,1908.11,1911.40
2023.01.17 07:00,1911.40,1913.25,1909.10,1911.10
2023.01.17 08:00,1911.10,1911.99,1906.92,1907.22
2023.01.17 09:00,1907.20,1910.62,1907.20,1910.02
2023.01.17 10:00,1910.01,1911.97,1908.84,1909.61
2023.01.17 11:00,1909.61,1910.61,1905.86,1906.61
2023.01.17 12:00,1906.59,1907.92,1904.21,1906.27
2023.01.17 13:00,1906.26,1912.77,1906.05,1912.69
2023.01.17 14:00,1912.72,1913.91,1908.09,1909.36
2023.01.17 15:00,1909.35,1914.41,1907.09,1913.03
2023.01.17 16:00,1913.05,1916.65,1911.49,1913.51
2023.01.17 17:00,1913.50,1915.76,1909.04,1911.05
2023.01.17 18:00,1911.06,1913.39,1909.62,1912.12
2023.01.17 19:00,1912.13,1912.49,1905.20,1907.19
2023.01.17 20:00,1907.20,1908.00,1904.65,1905.64
2023.01.17 21:00,1905.59,1909.37,1903.82,1907.96
2023.01.17 22:00,1907.96,1910.84,1907.52,1909.19
2023.01.17 23:00,1909.16,1909.16,1907.82,1908.38
2023.01.18 01:00,1908.17,1909.01,1907.89,1908.74
2023.01.18 02:00,1908.75,1909.21,1906.68,1907.30
2023.01.18 03:00,1907.30,1909.07,1906.37,1908.75
2023.01.18 04:00,1908.76,1910.38,1900.55,1904.02
2023.01.18 05:00,1904.06,1905.43,1899.24,1900.19
2023.01.18 06:00,1900.18,1900.50,1897.35,1899.57
2023.01.18 07:00,1899.54,1899.55,1896.59,1897.92
2023.01.18 08:00,1897.91,1904.27,1897.79,1902.99
2023.01.18 09:00,1903.00,1909.01,1902.88,1907.77
2023.01.18 10:00,1907.79,1915.16,1907.79,1912.22
2023.01.18 11:00,1912.22,1915.94,1910.19,1914.87
2023.01.18 12:00,1914.84,1915.00,1911.29,1914.39
2023.01.18 13:00,1914.36,1916.81,1914.08,1915.68
2023.01.18 14:00,1915.67,1918.08,1914.92,1917.37
2023.01.18 15:00,1917.37,1924.28,1916.22,1921.41
2023.01.18 16:00,1921.37,1925.89,1918.74,1921.38
2023.01.18 17:00,1921.38,1922.08,1911.40,1912.32
2023.01.18 18:00,1912.31,1912.75,1905.90,1908.45
2023.01.18 19:00,1908.64,1908.94,1901.64,1905.30
2023.01.18 20:00,1905.30,1906.53,1903.88,1904.96
2023.01.18 21:00,1904.95,1905.32,1903.07,1905.12
2023.01.18 22:00,1905.15,1905.20,1902.31,1903.44
2023.01.18 23:00,1903.41,1905.17,1903.12,1904.15
2023.01.19 01:00,1903.17,1907.29,1903.17,1906.85
2023.01.19 02:00,1906.94,1909.53,1904.97,1905.11
2023.01.19 03:00,1905.08,1907.27,1901.33,1901.95
2023.01.19 04:00,1901.95,1907.65,1900.98,1907.16
2023.01.19 05:00,1907.06,1910.83,1906.74,1909.03
2023.01.19 06:00,1909.02,1910.97,1908.67,1909.80
2023.01.19 07:00,1909.81,1910.27,1908.15,1910.09
2023.01.19 08:00,1909.91,1911.21,1907.98,1908.63
2023.01.19 09:00,1908.62,1912.93,1906.39,1911.35
2023.01.19 10:00,1911.38,1916.80,1910.49,1912.62
2023.01.19 11:00,1912.63,1912.76,1909.65,1910.43
2023.01.19 12:00,1910.43,1910.61,1906.81,1909.60
2023.01.19 13:00,1909.65,1910.32,1906.67,1908.16
2023.01.19 14:00,1908.14,1911.39,1907.45,1908.10
2023.01.19 15:00,1908.08,1913.48,1906.83,1913.19
2023.01.19 16:00,1913.25,1918.20,1912.79,1917.53
2023.01.19 17:00,1917.58,1923.34,1915.79,1918.05
2023.01.19 18:00,1918.08,1922.25,1917.68,1920.82
2023.01.19 19:00,1920.82,1923.23,1918.41,1920.10
2023.01.19 20:00,1920.12,1925.64,1919.81,1925.05
2023.01.19 21:00,1924.98,1931.39,1923.73,1929.70
2023.01.19 22:00,1929.70,1935.17,1929.33,1933.43
2023.01.19 23:00,1933.38,1933.55,1931.15,1931.69
2023.01.20 01:00,1932.09,1933.94,1931.72,1931.73
2023.01.20 02:00,1931.71,1932.08,1930.25,1930.48
2023.01.20 03:00,1930.48,1934.89,1929.44,1931.75
2023.01.20 04:00,1931.59,1932.53,1929.38,1929.63
2023.01.20 05:00,1929.61,1930.37,1927.53,1927.60
2023.01.20 06:00,1927.60,1927.83,1923.73,1923.82
2023.01.20 07:00,1923.82,1928.01,1923.19,1927.91
2023.01.20 08:00,1927.84,1929.20,1926.23,1926.58
2023.01.20 09:00,1926.55,1933.11,1926.41,1933.05
2023.01.20 10:00,1933.05,1937.54,1928.23,1928.61
2023.01.20 11:00,1928.58,1932.53,1926.55,1929.42
2023.01.20 12:00,1929.42,1930.90,1927.63,1930.04
2023.01.20 13:00,1930.05,1931.39,1926.86,1927.07
